,C_electricity_price_[$/MWh]
15/11/2009 12:35,100
15/11/2009 12:40,-50
15/11/2009 12:45,-50
15/11/2009 12:50,-50
15/11/2009 12:55,-50
15/11/2009 13:00,50
15/11/2009 13:05,50
15/11/2009 13:10,50
15/11/2009 13:15,50
15/11/2009 13:20,100
15/11/2009 13:25,100
15/11/2009 13:30,100
15/11/2009 13:35,100
15/11/2009 13:40,100
15/11/2009 13:45,-50
15/11/2009 13:50,-50
15/11/2009 13:55,-50
15/11/2009 14:00,-50
15/11/2009 14:05,50
15/11/2009 14:10,50
15/11/2009 14:15,50
15/11/2009 14:20,50
15/11/2009 14:25,100
15/11/2009 14:30,100
15/11/2009 14:35,100
15/11/2009 14:40,100
15/11/2009 14:45,100
15/11/2009 14:50,-50
15/11/2009 14:55,-50
15/11/2009 15:00,-50
15/11/2009 15:05,-50
15/11/2009 15:10,50
15/11/2009 15:15,50
15/11/2009 15:20,50
15/11/2009 15:25,50
15/11/2009 15:30,100
15/11/2009 15:35,100
15/11/2009 15:40,100
15/11/2009 15:45,100
15/11/2009 15:50,100
15/11/2009 15:55,-50
15/11/2009 16:00,-50
15/11/2009 16:05,-50
15/11/2009 16:10,-50
15/11/2009 16:15,50
15/11/2009 16:20,50
15/11/2009 16:25,50
15/11/2009 16:30,50
15/11/2009 16:35,100
15/11/2009 16:40,100
15/11/2009 16:45,100
15/11/2009 16:50,100
15/11/2009 16:55,100
15/11/2009 17:00,-50
15/11/2009 17:05,-50
15/11/2009 17:10,-50
15/11/2009 17:15,-50
15/11/2009 17:20,50
15/11/2009 17:25,50
15/11/2009 17:30,50
15/11/2009 17:35,50
15/11/2009 17:40,100
15/11/2009 17:45,100
15/11/2009 17:50,100
15/11/2009 17:55,100
15/11/2009 18:00,100
15/11/2009 18:05,-50
15/11/2009 18:10,-50
15/11/2009 18:15,-50
15/11/2009 18:20,-50
15/11/2009 18:25,50
15/11/2009 18:30,50
15/11/2009 18:35,50
15/11/2009 18:40,50
15/11/2009 18:45,100
15/11/2009 18:50,100
15/11/2009 18:55,100
15/11/2009 19:00,100
15/11/2009 19:05,100
15/11/2009 19:10,-50
15/11/2009 19:15,-50
15/11/2009 19:20,-50
15/11/2009 19:25,-50
15/11/2009 19:30,50
15/11/2009 19:35,50
15/11/2009 19:40,50
15/11/2009 19:45,50
15/11/2009 19:50,100
15/11/2009 19:55,100
15/11/2009 20:00,100
15/11/2009 20:05,100
15/11/2009 20:10,100
15/11/2009 20:15,-50
15/11/2009 20:20,-50
15/11/2009 20:25,-50
15/11/2009 20:30,-50
15/11/2009 20:35,50
15/11/2009 20:40,50
15/11/2009 20:45,50
15/11/2009 20:50,50
15/11/2009 20:55,100
15/11/2009 21:00,100
15/11/2009 21:05,100
15/11/2009 21:10,100
15/11/2009 21:15,100
15/11/2009 21:20,-50
15/11/2009 21:25,-50
15/11/2009 21:30,-50
15/11/2009 21:35,-50
15/11/2009 21:40,50
15/11/2009 21:45,50
15/11/2009 21:50,50
15/11/2009 21:55,50
15/11/2009 22:00,100
15/11/2009 22:05,100
15/11/2009 22:10,100
15/11/2009 22:15,100
15/11/2009 22:20,100
15/11/2009 22:25,-50
15/11/2009 22:30,-50
15/11/2009 22:35,-50
15/11/2009 22:40,-50
15/11/2009 22:45,50
15/11/2009 22:50,50
15/11/2009 22:55,50
15/11/2009 23:00,50
15/11/2009 23:05,100
15/11/2009 23:10,100
15/11/2009 23:15,100
15/11/2009 23:20,100
15/11/2009 23:25,100
15/11/2009 23:30,-50
15/11/2009 23:35,-50
15/11/2009 23:40,-50
15/11/2009 23:45,-50
15/11/2009 23:50,50
15/11/2009 23:55,50
16/11/2009 0:00,50
16/11/2009 0:05,50
16/11/2009 0:10,100
16/11/2009 0:15,100
16/11/2009 0:20,100
16/11/2009 0:25,100
16/11/2009 0:30,100
16/11/2009 0:35,-50
16/11/2009 0:40,-50
16/11/2009 0:45,-50
