,C_electricity_price_[$/MWh]
15/11/2009 9:45,3.066666667
15/11/2009 9:50,3
15/11/2009 9:55,18
15/11/2009 10:00,3.033333333
15/11/2009 10:05,34
15/11/2009 10:10,3.3
15/11/2009 10:15,3.066666667
15/11/2009 10:20,3.033333333
15/11/2009 10:25,3.433333333
15/11/2009 10:30,3.066666667
15/11/2009 10:35,3.033333333
15/11/2009 10:40,3.4
15/11/2009 10:45,23
15/11/2009 10:50,3
15/11/2009 10:55,3.3
15/11/2009 11:00,3
15/11/2009 11:05,3
15/11/2009 11:10,3.3
15/11/2009 11:15,3
15/11/2009 11:20,3
15/11/2009 11:25,3.3
15/11/2009 11:30,3
15/11/2009 11:35,3
15/11/2009 11:40,3.3
15/11/2009 11:45,3.066666667
15/11/2009 11:50,3
15/11/2009 11:55,3.3
15/11/2009 12:00,3
15/11/2009 12:05,3.033333333
15/11/2009 12:10,3.333333333
15/11/2009 12:15,12
15/11/2009 12:20,3
15/11/2009 12:25,3.3
15/11/2009 12:30,3
15/11/2009 12:35,3
15/11/2009 12:40,3.3
15/11/2009 12:45,3.033333333
15/11/2009 12:50,4.233333333
15/11/2009 12:55,3.8
15/11/2009 13:00,3.066666667
15/11/2009 13:05,3
15/11/2009 13:10,3.3
15/11/2009 13:15,3
15/11/2009 13:20,3.033333333
15/11/2009 13:25,3.333333333
15/11/2009 13:30,12
15/11/2009 13:35,3
15/11/2009 13:40,3.3
15/11/2009 13:45,3
15/11/2009 13:50,3
15/11/2009 13:55,3.3
15/11/2009 14:00,3.033333333
15/11/2009 14:05,4.233333333
15/11/2009 14:10,3.8
15/11/2009 14:15,2.966666667
15/11/2009 14:20,3
15/11/2009 14:25,3.333333333
15/11/2009 14:30,2.966666667
15/11/2009 14:35,3
15/11/2009 14:40,3.433333333
15/11/2009 14:45,3.1
15/11/2009 14:50,3
15/11/2009 14:55,3.333333333
15/11/2009 15:00,2.966666667
15/11/2009 15:05,12
15/11/2009 15:10,3.3
15/11/2009 15:15,3.1
15/11/2009 15:20,2
15/11/2009 15:25,4
15/11/2009 15:30,3
15/11/2009 15:35,3
15/11/2009 15:40,3.3
15/11/2009 15:45,3.1
15/11/2009 15:50,3
15/11/2009 15:55,66
15/11/2009 16:00,3
15/11/2009 16:05,3
15/11/2009 16:10,3.3
15/11/2009 16:15,6
15/11/2009 16:20,17
15/11/2009 16:25,3.3
15/11/2009 16:30,3
15/11/2009 16:35,12
15/11/2009 16:40,2
15/11/2009 16:45,3.166666667
15/11/2009 16:50,14
15/11/2009 16:55,3.3
15/11/2009 17:00,3
15/11/2009 17:05,3
15/11/2009 17:10,3.3
15/11/2009 17:15,2.966666667
15/11/2009 17:20,6
15/11/2009 17:25,3.4
15/11/2009 17:30,33
15/11/2009 17:35,3
15/11/2009 17:40,3.3
15/11/2009 17:45,2
15/11/2009 17:50,3.033333333
15/11/2009 17:55,3.3
15/11/2009 18:00,2.966666667
15/11/2009 18:05,55
15/11/2009 18:10,3.266666667
15/11/2009 18:15,3
15/11/2009 18:20,3.033333333
15/11/2009 18:25,12
15/11/2009 18:30,3
15/11/2009 18:35,3
15/11/2009 18:40,3.3
15/11/2009 18:45,23
15/11/2009 18:50,2.966666667
15/11/2009 18:55,3.333333333
15/11/2009 19:00,3
15/11/2009 19:05,3
15/11/2009 19:10,3.333333333
15/11/2009 19:15,3
15/11/2009 19:20,2.933333333
15/11/2009 19:25,3.333333333
15/11/2009 19:30,3
15/11/2009 19:35,3
15/11/2009 19:40,3.333333333
15/11/2009 19:45,3.033333333
15/11/2009 19:50,2.933333333
15/11/2009 19:55,3.366666667
15/11/2009 20:00,3
15/11/2009 20:05,2.966666667
15/11/2009 20:10,3.3
15/11/2009 20:15,3.066666667
15/11/2009 20:20,3
15/11/2009 20:25,3.266666667
15/11/2009 20:30,3
15/11/2009 20:35,3
15/11/2009 20:40,3.333333333
15/11/2009 20:45,3.1
15/11/2009 20:50,3
15/11/2009 20:55,3.3
15/11/2009 21:00,3
15/11/2009 21:05,3.033333333
15/11/2009 21:10,3.3
15/11/2009 21:15,3
15/11/2009 21:20,2.9
15/11/2009 21:25,3.4
15/11/2009 21:30,3
15/11/2009 21:35,3
15/11/2009 21:40,3.366666667
15/11/2009 21:45,3.033333333
15/11/2009 21:50,3
15/11/2009 21:55,3.366666667
15/11/2009 22:00,3
15/11/2009 22:05,3.1
15/11/2009 22:10,3.366666667
15/11/2009 22:15,3.166666667
15/11/2009 22:20,3.133333333
15/11/2009 22:25,3.366666667
15/11/2009 22:30,3.1
15/11/2009 22:35,3.033333333
15/11/2009 22:40,3.5
15/11/2009 22:45,3.166666667
15/11/2009 22:50,3.066666667
15/11/2009 22:55,3.666666667
15/11/2009 23:00,3.166666667
15/11/2009 23:05,3.1
15/11/2009 23:10,3.5
15/11/2009 23:15,3.033333333
15/11/2009 23:20,3
15/11/2009 23:25,3.466666667
15/11/2009 23:30,3.066666667
15/11/2009 23:35,3.1
15/11/2009 23:40,3.433333333
15/11/2009 23:45,3.133333333
15/11/2009 23:50,3.066666667
15/11/2009 23:55,3.433333333
16/11/2009 0:00,3.033333333
16/11/2009 0:05,3.2
16/11/2009 0:10,3.666666667
16/11/2009 0:15,3.433333333
16/11/2009 0:20,3.366666667
16/11/2009 0:25,3.766666667
16/11/2009 0:30,3.266666667
16/11/2009 0:35,3.366666667
16/11/2009 0:40,3.8
16/11/2009 0:45,3.533333333
